Time,Position ,Delta
0,0,0
1,1,1
2,4,3
3,10,6
4,19,9
5,31,12
6,46,15
7,65,19
8,87,22
9,112,25
10,138,26
11,167,29
12,198,31
13,231,33
14,266,35
15,303,37
16,341,38
17,381,40
18,423,42
19,466,43
20,511,45
21,556,45
22,603,47
23,651,48
24,701,50
25,751,50
26,802,51
27,854,52
28,907,53
29,960,53
30,1015,55
31,1071,56
32,1127,56
33,1184,57
34,1241,57
35,1299,58
36,1358,59
37,1417,59
38,1476,59
39,1536,60
40,1596,60
41,1657,61
42,1718,61
43,1780,62
44,1841,61
45,1904,63
46,1966,62
47,2030,64
48,2093,63
49,2158,65
50,2222,64
51,2287,65
52,2352,65
53,2417,65
54,2482,65
55,2548,66
56,2613,65
57,2679,66
58,2745,66
59,2811,66
60,2877,66
61,2944,67
62,3011,67
63,3078,67
64,3146,68
65,3213,67
66,3281,68
67,3349,68
68,3417,68
69,3485,68
70,3553,68
71,3621,68
72,3689,68
73,3757,68
74,3825,68
75,3893,68
76,3961,68
77,4030,69
78,4099,69
79,4168,69
80,4237,69
81,4307,70
82,4376,69
83,4445,69
84,4514,69
85,4583,69
86,4652,69
87,4722,70
88,4791,69
89,4860,69
90,4929,69
91,4998,69
92,5068,70
93,5137,69
94,5208,71
95,5278,70
96,5348,70
97,5418,70
98,5487,69
99,5557,70
100,5627,70
101,5697,70
102,5767,70
103,5836,69
104,5906,70
105,5975,69
106,6045,70
107,6115,70
108,6185,70
109,6256,71
110,6326,70
111,6396,70
112,6467,71
113,6537,70
114,6607,70
115,6677,70
116,6747,70
117,6817,70
118,6887,70
119,6957,70
120,7027,70
121,7097,70
122,7167,70
123,7237,70
124,7308,71
125,7379,71
126,7449,70
127,7520,71
128,7590,70
129,7660,70
130,7730,70
131,7801,71
132,7871,70
133,7940,69
134,8011,71
135,8081,70
136,8151,70
137,8221,70
138,8292,71
139,8363,71
140,8434,71
141,8504,70
142,8574,70
143,8645,71
144,8715,70
145,8785,70
146,8856,71
147,8926,70
148,8996,70
149,9066,70
150,9136,70
151,9206,70
152,9277,71
153,9348,71
154,9419,71
155,9489,70
156,9560,71
157,9630,70
158,9701,71
159,9771,70
160,9841,70
161,9912,71
162,9982,70
163,10052,70
164,10122,70
165,10192,70
166,10263,71
167,10334,71
168,10405,71
169,10476,71
170,10546,70
171,10616,70
172,10687,71
173,10758,71
174,10828,70
175,10898,70
176,10968,70
177,11038,70
178,11108,70
179,11179,71
180,11249,70
181,11320,71
182,11391,71
183,11462,71
184,11533,71
185,11604,71
186,11674,70
187,11744,70
188,11815,71
189,11885,70
190,11956,71
191,12025,69
192,12096,71
193,12166,70
194,12236,70
195,12307,71
196,12378,71
197,12449,71
198,12520,71
199,12591,71
200,12661,70
201,12732,71
202,12802,70
203,12873,71
204,12943,70
205,13013,70
206,13083,70
207,13154,71
208,13224,70
209,13294,70
210,13365,71
211,13436,71
212,13507,71
213,13578,71
214,13649,71
215,13719,70
216,13790,71
217,13860,70
218,13931,71
219,14001,70
220,14072,71
221,14142,70
222,14212,70
223,14283,71
224,14353,70
225,14424,71
226,14495,71
227,14566,71
228,14637,71
229,14708,71
230,14778,70
231,14849,71
232,14920,71
233,14990,70
234,15060,70
235,15130,70
236,15201,71
237,15271,70
238,15342,71
239,15413,71
240,15484,71
241,15555,71
242,15626,71
243,15697,71
244,15767,70
245,15838,71
246,15908,70
247,15979,71
248,16049,70
249,16119,70
250,16189,70
251,16260,71
252,16330,70
253,16401,71
254,16472,71
255,16543,71
256,16614,71
257,16685,71
258,16756,71
259,16827,71
260,16897,70
261,16968,71
262,17038,70
263,17108,70
264,17178,70
265,17249,71
266,17319,70
267,17390,71
268,17461,71
269,17532,71
270,17603,71
271,17674,71
272,17745,71
273,17815,70
274,17886,71
275,17956,70
276,18027,71
277,18097,70
278,18168,71
279,18238,70
280,18308,70
281,18379,71
282,18450,71
283,18521,71
284,18592,71
285,18663,71
286,18734,71
287,18805,71
288,18875,70
289,18946,71
290,19017,71
291,19087,70
292,19158,71
293,19228,70
294,19298,70
295,19369,71
296,19440,71
297,19511,71
298,19582,71
299,19653,71
300,19724,71
301,19795,71
302,19866,71
303,19937,71
304,20007,70
305,20078,71
306,20149,71
307,20219,70
308,20289,70
309,20360,71
310,20431,71
311,20502,71
312,20573,71
313,20644,71
314,20715,71
315,20786,71
316,20857,71
317,20928,71
318,20999,71
319,21069,70
320,21140,71
321,21211,71
322,21281,70
323,21352,71
324,21422,70
325,21493,71
326,21564,71
327,21636,72
328,21707,71
329,21778,71
330,21849,71
331,21920,71
332,21991,71
333,22061,70
334,22132,71
335,22203,71
336,22273,70
337,22344,71
338,22414,70
339,22485,71
340,22556,71
341,22628,72
342,22699,71
343,22770,71
344,22841,71
345,22912,71
346,22984,72
347,23055,71
348,23125,70
349,23196,71
350,23267,71
351,23337,70
352,23408,71
353,23479,71
354,23550,71
355,23621,71
356,23693,72
357,23764,71
358,23836,72
359,23907,71
360,23978,71
361,24049,71
362,24120,71
363,24191,71
364,24262,71
365,24332,70
366,24403,71
367,24474,71
368,24545,71
369,24616,71
370,24688,72
371,24759,71
372,24831,72
373,24902,71
374,24973,71
375,25044,71
376,25115,71
377,25186,71
378,25257,71
379,25328,71
380,25399,71
381,25470,71
382,25541,71
383,25612,71
384,25684,72
385,25755,71
386,25827,72
387,25898,71
388,25969,71
389,26041,72
390,26112,71
391,26183,71
392,26254,71
393,26325,71
394,26396,71
395,26467,71
396,26538,71
397,26609,71
398,26680,71
399,26752,72
400,26824,72
401,26895,71
402,26967,72
403,27038,71
404,27109,71
405,27180,71
406,27251,71
407,27322,71
408,27393,71
409,27464,71
410,27535,71
411,27606,71
412,27677,71
413,27749,72
414,27821,72
415,27892,71
416,27964,72
417,28035,71
418,28106,71
419,28177,71
420,28248,71
421,28319,71
422,28390,71
423,28460,70
424,28531,71
425,28602,71
426,28673,71
427,28745,72
428,28816,71
429,28888,72
430,28959,71
431,29030,71
432,29101,71
433,29173,72
434,29244,71
435,29315,71
436,29385,70
437,29456,71
438,29527,71
439,29598,71
440,29669,71
441,29740,71
442,29812,72
443,29883,71
444,29954,71
445,30026,72
446,30097,71
447,30168,71
448,30239,71
449,30310,71
450,30380,70
451,30451,71
452,30522,71
453,30593,71
454,30664,71
455,30735,71
456,30807,72
457,30878,71
458,30949,71
459,31021,72
460,31092,71
461,31163,71
462,31234,71
463,31305,71
464,31376,71
465,31446,70
466,31517,71
467,31588,71
468,31658,70
469,31729,71
470,31801,72
471,31872,71
472,31944,72
473,32015,71
474,32086,71
475,32157,71
476,32228,71
477,32299,71
478,32370,71
479,32440,70
480,32511,71
481,32582,71
482,32652,70
483,32723,71
484,32795,72
485,32866,71
486,32937,71
487,33009,72
488,33080,71
489,33151,71
490,33222,71
491,33293,71
492,33363,70
493,33434,71
494,33505,71
495,33575,70
496,33646,71
497,33717,71
498,33788,71
499,33859,71
500,33930,71
501,34002,72
502,34073,71
503,34144,71
504,34215,71
505,34286,71
506,34356,70
507,34427,71
508,34498,71
509,34568,70
510,34639,71
511,34710,71
512,34780,70
513,34852,72
514,34923,71
515,34994,71
516,35065,71
517,35137,72
518,35207,70
519,35279,72
520,35349,70
521,35420,71
522,35491,71
523,35561,70
524,35632,71
525,35703,71
526,35773,70
527,35844,71
528,35916,72
529,35987,71
530,36058,71
531,36130,72
532,36200,70
533,36271,71
534,36342,71
535,36413,71
536,36484,71
537,36554,70
538,36625,71
539,36695,70
540,36766,71
541,36837,71
542,36908,71
543,36979,71
544,37050,71
545,37122,72
546,37193,71
