Time,Position,Delta,,,,,,Velocity
0,0,0,,0,,16875,0,0
1,0,0,,0,,,0,0
2,2,2,,468.75,,,-0.028170877,1
3,8,6,,1406.25,,,-0.087011377,1
4,16,8,,1875,,,-0.117783036,1
5,28,12,,2812.5,,,-0.182321557,1
6,43,15,,3515.625,,,-0.233614851,1
7,62,19,,4453.125,,,-0.306374205,1
8,85,23,,5390.625,,,-0.384845821,1
9,110,25,,5859.375,,,-0.426518517,1
10,137,27,,6328.125,,,-0.470003629,1
11,168,31,,7265.625,,,-0.563094052,1
12,201,33,,7734.375,,,-0.613104472,1
13,236,35,,8203.125,,,-0.665748206,1
14,273,37,,8671.875,,,-0.721318057,1
15,313,40,,9375,,,-0.810930215,1
16,354,41,,9609.375,,,-0.842678914,1
17,396,42,,9843.75,,,-0.875468737,1
18,441,45,,10546.875,,,-0.980829252,1
19,488,47,,11015.625,,,-1.057790293,1
20,535,47,,11015.625,,,-1.057790293,1
21,583,48,,11250,,,-1.098612287,1
22,633,50,,11718.75,,,-1.185623664,1
23,684,51,,11953.125,,,-1.23214368,1
24,736,52,,12187.5,,,-1.280933844,1
25,789,53,,12421.875,,,-1.332227138,1
26,844,55,,12890.625,,,-1.443452773,1
27,899,55,,12890.625,,,-1.443452773,1
28,955,56,,13125,,,-1.504077395,1
29,1012,57,,13359.375,,,-1.568615916,1
30,1069,57,,13359.375,,,-1.568615916,1
31,1128,59,,13828.125,,,-1.711716759,1
32,1187,59,,13828.125,,,-1.711716759,1
33,1247,60,,14062.5,,,-1.791759466,1
34,1307,60,,14062.5,,,-1.791759466,1
35,1368,61,,14296.875,,,-1.878770843,1
36,1429,61,,14296.875,,,-1.878770843,1
37,1490,61,,14296.875,,,-1.878770843,1
38,1552,62,,14531.25,,,-1.974081022,1
39,1614,62,,14531.25,,,-1.974081022,1
40,1677,63,,14765.625,,,-2.079441538,1
41,1740,63,,14765.625,,,-2.079441538,1
42,1802,62,,14531.25,,,-1.974081022,1
43,1866,64,,15000,,,-2.197224573,1
44,1930,64,,15000,,,-2.197224573,1
45,1995,65,,15234.375,,,-2.330755964,1
46,2060,65,,15234.375,,,-2.330755964,1
47,2125,65,,15234.375,,,-2.330755964,1
48,2191,66,,15468.75,,,-2.484906643,1
49,2256,65,,15234.375,,,-2.330755964,1
50,2322,66,,15468.75,,,-2.484906643,1
51,2388,66,,15468.75,,,-2.484906643,1
52,2454,66,,15468.75,,,-2.484906643,1
53,2520,66,,15468.75,,,-2.484906643,1
54,2586,66,,15468.75,,,-2.484906643,1
55,2653,67,,15703.125,,,-2.667228199,1
56,2719,66,,15468.75,,,-2.484906643,1
57,2786,67,,15703.125,,,-2.667228199,1
58,2852,66,,15468.75,,,-2.484906643,1
59,2920,68,,15937.5,,,-2.890371748,1
60,2987,67,,15703.125,,,-2.667228199,1
61,3055,68,,15937.5,,,-2.890371748,1
62,3122,67,,15703.125,,,-2.667228199,1
63,3191,69,,16171.875,,,-3.178053817,1
64,3259,68,,15937.5,,,-2.890371748,1
65,3326,67,,15703.125,,,-2.667228199,1
66,3395,69,,16171.875,,,-3.178053817,1
67,3462,67,,15703.125,,,-2.667228199,1
68,3530,68,,15937.5,,,-2.890371748,1
69,3598,68,,15937.5,,,-2.890371748,1
70,3666,68,,15937.5,,,-2.890371748,1
71,3734,68,,15937.5,,,-2.890371748,1
72,3802,68,,15937.5,,,-2.890371748,1
73,3870,68,,15937.5,,,-2.890371748,1
74,3938,68,,15937.5,,,-2.890371748,1
75,4006,68,,15937.5,,,-2.890371748,1
76,4074,68,,15937.5,,,-2.890371748,1
77,4143,69,,16171.875,,,-3.178053817,1
78,4212,69,,16171.875,,,-3.178053817,1
79,4280,68,,15937.5,,,-2.890371748,1
80,4348,68,,15937.5,,,-2.890371748,1
81,4416,68,,15937.5,,,-2.890371748,1
82,4485,69,,16171.875,,,-3.178053817,1
83,4553,68,,15937.5,,,-2.890371748,1
84,4621,68,,15937.5,,,-2.890371748,1
85,4689,68,,15937.5,,,-2.890371748,1
86,4757,68,,15937.5,,,-2.890371748,1
87,4825,68,,15937.5,,,-2.890371748,1
88,4894,69,,16171.875,,,-3.178053817,1
89,4962,68,,15937.5,,,-2.890371748,1
90,5030,68,,15937.5,,,-2.890371748,1
91,5099,69,,16171.875,,,-3.178053817,1
92,5168,69,,16171.875,,,-3.178053817,1
93,5237,69,,16171.875,,,-3.178053817,1
94,5307,70,,16406.25,,,-3.583518918,1
95,5374,67,,15703.125,,,-2.667228199,1
96,5443,69,,16171.875,,,-3.178053817,1
97,5512,69,,16171.875,,,-3.178053817,1
98,5580,68,,15937.5,,,-2.890371748,1
99,5649,69,,16171.875,,,-3.178053817,1
100,5717,68,,15937.5,,,-2.890371748,1
101,5785,68,,15937.5,,,-2.890371748,1
102,5854,69,,16171.875,,,-3.178053817,1
103,5922,68,,15937.5,,,-2.890371748,1
104,5991,69,,16171.875,,,-3.178053817,1
105,6060,69,,16171.875,,,-3.178053817,1
106,6128,68,,15937.5,,,-2.890371748,1
107,6197,69,,16171.875,,,-3.178053817,1
108,6267,70,,16406.25,,,-3.583518918,1
109,6336,69,,16171.875,,,-3.178053817,1
110,6404,68,,15937.5,,,-2.890371748,1
111,6474,70,,16406.25,,,-3.583518918,1
112,6542,68,,15937.5,,,-2.890371748,1
113,6611,69,,16171.875,,,-3.178053817,1
114,6680,69,,16171.875,,,-3.178053817,1
115,6749,69,,16171.875,,,-3.178053817,1
116,6817,68,,15937.5,,,-2.890371748,1
117,6886,69,,16171.875,,,-3.178053817,1
118,6955,69,,16171.875,,,-3.178053817,1
119,7024,69,,16171.875,,,-3.178053817,1
120,7093,69,,16171.875,,,-3.178053817,1
121,7162,69,,16171.875,,,-3.178053817,1
122,7231,69,,16171.875,,,-3.178053817,1
123,7300,69,,16171.875,,,-3.178053817,1
124,7369,69,,16171.875,,,-3.178053817,1
125,7439,70,,16406.25,,,-3.583518918,1
126,7508,69,,16171.875,,,-3.178053817,1
127,7577,69,,16171.875,,,-3.178053817,1
128,7646,69,,16171.875,,,-3.178053817,1
129,7715,69,,16171.875,,,-3.178053817,1
130,7784,69,,16171.875,,,-3.178053817,1
